model,n,refused_parse_rate,refused2_rate,party_rate,zeta_rate,mean_zeta,search_rate,names_person_rate
claude_opus,2680,0.33134328358208953,0.5220149253731343,0.275,0.275,-0.3706173677069199,0.26791044776119405,0.6697761194029851
claude_sonnet,2680,0.251865671641791,0.4324626865671642,0.6649253731343283,0.6626865671641791,-0.14663063063063062,0.9593283582089552,0.9805970149253731
gemini_flash,2680,0.09029850746268657,0.11529850746268656,0.7227611940298507,0.7223880597014926,-0.02003305785123965,1,0.9619402985074627
gpt4o,2680,0.025746268656716417,0.030597014925373135,0.45298507462686566,0.45298507462686566,-0.21158813838550244,1,0.9876865671641791
grok,2680,0.055970149253731345,0.07126865671641791,0.939179104477612,0.9388059701492537,-0.1276474562798092,0.9996268656716418,0.9996268656716418
llama,2680,0.10111940298507463,0.17686567164179104,0.5145522388059701,0.5145522388059701,-0.19215736040609135,1,0.9873134328358208
sabia4,2680,0.45597014925373136,0.5414179104477612,0.49589552238805973,0.4906716417910448,-0.2175338403041825,0,0.9541044776119403
mistral,2675,0.0029906542056074765,0.018317757009345795,0.9603738317757009,0.96,-0.06161331775700933,1,0.9981308411214953
gemini_pro,2642,0.03255109765329296,0.04239212717638153,0.046934140802422405,0.046934140802422405,-0.4434435483870967,1,0.17183951551854657
deepseek,1581,0.05945604048070841,0.0961416824794434,0.6710942441492727,0.6710942441492727,-0.033570216776625805,1,0.872865275142315
gpt5,136,0.7647058823529411,0.875,0.022058823529411766,0.022058823529411766,-0.2963333333333333,0.03676470588235294,0.16176470588235295
